DayCount,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
91,975,994.12,972.5,990.81,2338.73,2297501.32,982.37
92,991.96,1005,991.96,997.75,3167.48,3165249.01,999.3
93,997.75,1005.8,996.89,1003.2,1169.79,1172173.82,1002.04
94,1004.97,1024.92,1002.8,1024.92,2287.56,2322897.66,1015.45
95,1024.92,1032,998.72,1022,2320.56,2366001.33,1019.58
96,1022,1023.89,990.01,1012.54,2389.47,2412504.18,1009.64
97,1011.44,1029.92,999.99,1020.06,2513.28,2555516.39,1016.81
98,1020.06,1024,1009.08,1023.5,1626.3,1655636.19,1018.04
99,1023.49,1026.5,1015.23,1019.88,1600.88,1635116.74,1021.38
100,1019.88,1039,1016.19,1035.24,3349.19,3430230.99,1024.2
101,1035.51,1054.72,1028.56,1047.79,2511.31,2611428.11,1039.87
102,1047.79,1089.19,1038.35,1081.93,3790.3,4039088.4,1065.64
103,1080.14,1129.9,1059.73,1129.8,7592.94,8297432.6,1092.78
104,1129.8,1139.89,1078,1114.92,7667.91,8521695.86,1111.35
105,1114.38,1124,1086.5,1120.28,2518.94,2794138.21,1109.25
106,1120.19,1136.72,1050,1096.8,6712.64,7360419.45,1096.5
107,1096.8,1098.23,885.41,964.04,20892.34,20289271.31,971.13
108,964.11,1025.03,937,1004.74,5894.94,5767570.56,978.39
109,1004.73,1026.99,953.11,981.16,2617.63,2586771.11,988.21
110,980.06,989.97,871,898.98,10716.37,9861121.06,920.19
111,900.03,919.99,878,914.96,8738.79,7865546.18,900.07
112,914.95,918.51,879.4,893.89,5843.91,5209822.93,891.5
113,894.02,900.16,821.22,827.62,7208.69,6114371.17,848.19
114,827.62,887,812.28,874.01,5351.76,4527067.39,845.9
115,874.01,906,861.33,901.03,4966.71,4417086.3,889.34
116,901.92,907.05,879.98,906.2,2873.95,2565785.15,892.77
117,906.2,941.81,892.57,931.47,2288.19,2104290.91,919.63
118,931.47,940,898,901.89,2485.43,2306532.57,928.02
119,905,924.83,881.3,904.33,3030.41,2731673.88,901.42
120,904.74,914.3,895.01,909.75,1133.47,1025672.99,904.9
121,909.8,912.87,875,894.41,2087.13,1851526.55,887.11
122,894.7,908.63,879.94,900.83,2175.7,1941298.46,892.27
123,900.83,910.58,888,889.89,2173.01,1953875.03,899.16
124,889.86,899.99,883.98,896.23,2280.35,2033359.02,891.69
125,896.09,909.99,889.41,893.55,1568.25,1412190.42,900.49
126,894.23,912.47,890.41,902.38,1714.37,1545534.86,901.52
127,902.33,907.99,898.25,904,3072.87,2772740.29,902.33
128,904,908,899.18,905.05,2180.05,1973805.62,905.4
129,905.24,916.2,904.07,914.32,2290.09,2081564.21,908.94
130,914.6,918.4,825.05,833.98,8844.37,7666797.99,866.86
131,833.08,833.08,755,771.8,16341.44,13069708.57,799.79
132,771.44,825.99,762,778.62,8417.87,6641898.13,789.02
133,778.7,782.37,755,761.45,5222.44,3996443.48,765.24
134,761.4,782,751.34,767.11,3979.71,3037482.6,763.24
135,767.11,811.34,766.73,806.74,4012.13,3180010.1,792.6
136,806.74,832.99,800,807.47,4185.85,3418315.27,816.63
137,807.51,812,778.09,784.71,1760.36,1404924.48,798.09
138,784.11,804.76,775,802.68,3038.32,2403637.67,791.11
139,801.81,831.4,792.22,826.02,4497.39,3671342.7,816.33
140,826.02,831.38,818.08,825.86,2113.45,1744825.04,825.58
141,825.98,837.76,818.55,822,1828.61,1516190.05,829.15
142,822,834.6,817,834.57,1356.89,1122395.07,827.18
143,834.6,837.01,822.5,829.17,1355.94,1125508.92,830.06
144,829.27,831.86,810,818.27,2073.29,1706120.96,822.91
145,819.52,822.97,815.69,815.83,693.04,568581.03,820.42
146,815.86,823.45,810.55,817,1311.26,1070550.12,816.43
147,816.51,823.27,808.03,812.91,1315.86,1073490.66,815.81
148,812.88,822.89,808,821.86,911.3,742744.07,815.03
149,821.86,835,818.09,826.69,1188.63,983480.25,827.41
150,826.83,830.33,819,821.86,1679.82,1389226.45,827.01
151,821.74,833.68,821.35,828.45,1669.29,1383336.58,828.7
152,828.45,834.11,827,831.81,1628.31,1350987.93,829.69
153,831.76,863.98,827,863.98,2288.85,1925697.72,841.34
154,862.75,896.23,853.38,876.61,4522.71,3975433.1,878.99
155,876.61,902.99,868.56,902,2727.67,2418214.65,886.55
156,902.19,908.5,890.31,905.99,2724.94,2456152.39,901.36
157,905.95,915.99,887.63,899.18,2274.56,2051979.7,902.14
158,899.19,900.74,882.42,896.94,1545.79,1381101.38,893.46
159,898.04,898.91,851.74,872.32,5778.39,5016468.57,868.14
160,872.9,887.75,860.01,887.7,1583.15,1380568,872.04
161,887.69,896,878.89,883.65,1729.72,1536214.38,888.13
162,884.97,899,880.9,888.79,3095.41,2755721.11,890.26
163,888.79,906,888.79,905.34,3793.73,3398473.93,895.81
164,905.34,910,893.13,901.01,2475.74,2239237.78,904.47
165,902.23,902.43,890,890.93,1337.56,1200519.3,897.54
166,890.93,897.21,880,888.54,2033.47,1807549.59,888.9
167,888.55,899.9,888.55,897.29,2474.91,2214464.66,894.77
168,897.29,900.99,892.81,895.8,772.69,693331.93,897.3
169,895.81,925,895,915,2381.46,2167237.64,910.05
170,915.03,926,912.5,921.47,1907.19,1752430.49,918.85
171,922.25,928,915.03,918.5,1064.23,981364.02,922.14
172,918.79,925,918.64,921.98,512.75,472358.94,921.23
173,921.98,936.3,921.98,932.49,1691.87,1573623.73,930.11
174,932.47,937.74,923,929.98,1021.88,952187.8,931.8
175,930,930,886.76,917.11,3842.34,3483834.53,906.7
176,916.9,923.76,910.38,923.76,610.57,559531.13,916.41
177,923.75,924.13,913.21,917.49,411.6,377961.36,918.27
178,917.49,923,916.53,921.99,870.93,801753.82,920.57
179,921.98,927.57,914.52,920.57,1404.36,1293284.3,920.9
180,920.57,923.19,913.52,913.52,827.85,761454.82,919.8
181,913.15,923,892.04,915.96,2847.89,2578136.07,905.28
182,915.26,919.98,896.18,908.92,2389.29,2173329.22,909.61
183,908.53,911.31,900.37,909,1644.72,1487966.66,904.69
184,909.18,909.47,881.48,885.47,2523.15,2256543.51,894.34
185,885.47,904.01,884.5,894.21,1133.9,1015841.86,895.88
186,894.21,899.71,890.74,896.65,1048.91,938464.93,894.71
187,897.08,897.93,885.01,890.98,2322.07,2068853.86,890.95
188,890.9,894.77,890.85,893.43,786.68,702781.72,893.35
189,893.25,900.96,893.25,896.1,1022.74,917393.33,897
190,896.14,902.97,892.86,901.87,784.03,705180.78,899.44
191,902.01,919.49,901.38,913.87,2372.17,2164623.44,912.51
192,913.97,917.03,908.88,914.83,985.96,900904.69,913.73
193,914.95,918.86,908.01,909.34,1021.58,933316.71,913.6
194,909.39,919.74,908.63,917.52,849.34,778032.91,916.04
195,917.52,924.88,916,919.59,1951.98,1796558.82,920.38
196,920.39,921.99,916.24,918.02,1007.64,925837.94,918.82
197,918.02,920.99,915.95,920.09,230.92,212251.65,919.14
198,918.8,920.1,913.08,917.16,449.13,412060.06,917.46
199,916.98,919.05,913.13,916.42,312.04,285901.33,916.22
200,916.42,919,915,918.6,183.76,168671.49,917.87
201,918.6,919.5,916.6,919.5,377.87,347067.22,918.49
202,919.5,919.99,916.29,918.4,99.9,91725.19,918.2
203,918.4,918.61,913.4,915.68,359.63,329140.03,915.22
204,915,915.64,910.45,912.01,511.62,466813.64,912.42
205,913.12,917.69,910,914.99,550.25,501771.28,911.9
206,914.99,917.48,912.9,916.21,494.78,452555.61,914.66
207,916.21,921.99,914.93,918.92,728.44,669781.64,919.47
208,919.87,923,918,919.99,1347.72,1240955.2,920.78
209,919.99,921.54,917.5,919.14,511.01,470156.02,920.06
210,919.7,940.5,919.12,940.2,1677.45,1564109.72,932.43
